time,us,acc
15:52:08.395,1012464,35.98
15:52:08.433,1044468,33.42
15:52:08.433,1076472,38.21
15:52:08.471,1108476,37.03
15:52:08.508,1140476,38.31
15:52:08.546,1172476,37.07
15:52:08.579,1204472,37.35
15:52:08.614,1236472,38.34
15:52:08.651,1268480,31.38
15:52:08.687,1300492,38.46
15:52:08.724,1332492,35.04
15:52:08.724,1364500,34.65
15:52:08.757,1396492,37.03
15:52:08.794,1428488,38.27
15:52:08.829,1460484,34.85
15:52:08.866,1492484,36.09
15:52:08.903,1524492,34.99
15:52:08.938,1556496,36.02
15:52:08.976,1588480,35.84
15:52:09.013,1620476,35.24
15:52:09.013,1652464,38.68
15:52:09.049,1684472,39.88
15:52:09.086,1716476,36.25
15:52:09.120,1748472,39.86
15:52:09.158,1780456,39.92
15:52:09.192,1812448,38.44
15:52:09.227,1844440,39.03
15:52:09.263,1876436,37.20
15:52:09.296,1908432,36.79
15:52:09.332,1940440,32.53
15:52:09.332,1972444,31.59
15:52:09.368,2004448,39.95
15:52:09.406,2036444,38.03
15:52:09.442,2068440,40.88
15:52:09.475,2100448,35.56
15:52:09.511,2132448,36.25
15:52:09.545,2164452,36.31
15:52:09.583,2196452,37.84
15:52:09.621,2228452,34.85
15:52:09.621,2260456,39.44
15:52:09.657,2292448,35.86
15:52:09.691,2324436,36.91
15:52:09.728,2356432,37.39
15:52:09.763,2388436,33.92
15:52:09.801,2420444,38.31
15:52:09.837,2452444,37.50
15:52:09.871,2484448,41.21
15:52:09.908,2516440,41.05
15:52:09.908,2548436,38.06
15:52:09.944,2580444,32.02
15:52:09.978,2612432,35.02
15:52:10.011,2644444,37.22
15:52:10.044,2676444,34.49
15:52:10.081,2708456,35.12
15:52:10.117,2740448,36.88
15:52:10.154,2772452,37.86
15:52:10.191,2804456,40.48
15:52:10.224,2836452,40.77
15:52:10.263,2868456,36.51
15:52:10.263,2900456,37.97
15:52:10.297,2932460,33.37
15:52:10.334,2964460,37.29
15:52:10.371,2996464,35.63
15:52:10.409,3028468,37.52
15:52:10.443,3060472,37.33
15:52:10.477,3092468,38.29
15:52:10.515,3124476,34.58
15:52:10.515,3156476,35.31
15:52:10.551,3188464,36.80
15:52:10.585,3220468,35.51
15:52:10.621,3252460,37.91
15:52:10.658,3284460,35.09
15:52:10.696,3316460,37.12
15:52:10.729,3348452,36.44
15:52:10.763,3380456,38.62
15:52:10.800,3412460,40.46
15:52:10.836,3444456,39.46
15:52:10.836,3476464,41.54
15:52:10.874,3508468,35.83
15:52:10.907,3540480,34.45
15:52:10.945,3572476,35.64
15:52:10.978,3604488,40.18
15:52:11.012,3636484,42.14
15:52:11.046,3668476,33.54
15:52:11.084,3700484,38.71
15:52:11.121,3732492,37.22
15:52:11.158,3764484,41.03
15:52:11.158,3796484,35.57
15:52:11.193,3828484,37.86
15:52:11.228,3860488,34.65
15:52:11.264,3892488,35.45
15:52:11.300,3924488,35.90
15:52:11.338,3956492,38.22
15:52:11.372,3988496,39.75
15:52:11.410,4020508,39.31
15:52:11.410,4052508,36.37
15:52:11.446,4084508,38.96
15:52:11.482,4116512,36.36
15:52:11.516,4148516,35.52
15:52:11.552,4180528,37.09
15:52:11.590,4212528,36.59
15:52:11.625,4244532,39.71
15:52:11.662,4276532,35.62
15:52:11.700,4308540,35.73
15:52:11.738,4340540,40.26
15:52:11.738,4372540,37.04
15:52:11.775,4404544,38.38
15:52:11.811,4436560,32.96
15:52:11.846,4468572,37.63
15:52:11.884,4500572,36.99
15:52:11.920,4532580,37.63
15:52:11.958,4564584,36.74
15:52:11.958,4596588,36.55
15:52:11.995,4628592,39.95
15:52:12.030,4660596,36.95
15:52:12.067,4692604,38.75
15:52:12.104,4724612,36.85
15:52:12.140,4756612,34.40
15:52:12.178,4788620,37.66
15:52:12.214,4820628,38.37
15:52:12.214,4852628,37.35
15:52:12.251,4884620,37.74
15:52:12.287,4916636,34.04
15:52:12.321,4948620,34.38
15:52:12.356,4980612,38.14
15:52:12.394,5012616,38.10
15:52:12.430,5044616,35.76
15:52:12.468,5076616,37.93
15:52:12.468,5108624,36.37
15:52:12.503,5140628,38.35
15:52:12.536,5172632,38.11
15:52:12.569,5204628,39.83
15:52:12.603,5236636,34.38
15:52:12.638,5268644,41.63
15:52:12.676,5300652,37.97
15:52:12.713,5332660,34.18
15:52:12.751,5364656,34.04
15:52:12.788,5396660,36.22
15:52:12.788,5428660,36.86
15:52:12.823,5460664,33.07
15:52:12.860,5492664,41.94
15:52:12.893,5524668,37.23
15:52:12.928,5556660,36.69
15:52:12.966,5588660,38.82
15:52:13.004,5620676,37.87
15:52:13.039,5652688,33.95
15:52:13.072,5684696,36.61
15:52:13.110,5716692,34.56
15:52:13.110,5748704,35.64
15:52:13.146,5780708,37.60
15:52:13.183,5812708,38.23
15:52:13.217,5844712,33.85
15:52:13.254,5876700,38.59
15:52:13.291,5908704,39.01
15:52:13.325,5940704,40.55
15:52:13.361,5972688,38.46
15:52:13.395,6004696,38.50
15:52:13.432,6036688,36.75
15:52:13.432,6068692,36.55
15:52:13.466,6100692,37.48
15:52:13.504,6132680,40.16
15:52:13.541,6164664,39.44
15:52:13.577,6196660,37.98
15:52:13.612,6228672,39.55
15:52:13.649,6260672,37.54
15:52:13.684,6292680,40.56
15:52:13.684,6324684,36.17
15:52:13.719,6356684,39.51
15:52:13.756,6388688,32.52
15:52:13.794,6420684,37.54
15:52:13.831,6452688,33.39
15:52:13.868,6484684,35.81
15:52:13.901,6516692,37.05
15:52:13.939,6548688,34.97
15:52:13.975,6580696,39.11
15:52:13.975,6612700,38.54
15:52:14.008,6644696,38.14
15:52:14.042,6676700,35.90
15:52:14.083,6708704,39.52
15:52:14.117,6740708,39.45
15:52:14.151,6772720,34.46
15:52:14.187,6804716,37.03
15:52:14.221,6836716,35.31
15:52:14.256,6868716,34.05
15:52:14.293,6900712,36.20
15:52:14.293,6932716,40.75
15:52:14.327,6964716,36.63
15:52:14.364,6996724,39.29
15:52:14.397,7028752,39.84
15:52:14.433,7060752,40.91
15:52:14.471,7092752,36.40
15:52:14.508,7124748,34.93
15:52:14.542,7156748,32.06
15:52:14.579,7188732,32.29
15:52:14.615,7220736,34.75
15:52:14.615,7252728,37.84
15:52:14.652,7284728,38.84
15:52:14.690,7316740,39.77
15:52:14.726,7348748,38.77
15:52:14.762,7380756,42.40
15:52:14.800,7412756,39.40
15:52:14.835,7444768,39.08
15:52:14.873,7476776,37.33
15:52:14.873,7508776,36.92
15:52:14.910,7540784,37.81
15:52:14.947,7572776,37.61
15:52:14.985,7604780,40.78
15:52:15.018,7636780,37.06
15:52:15.054,7668784,40.28
15:52:15.091,7700780,38.59
15:52:15.126,7732788,37.18
15:52:15.126,7764788,37.02
15:52:15.164,7796792,36.47
15:52:15.197,7828788,35.27
15:52:15.234,7860796,35.90
15:52:15.271,7892816,34.56
15:52:15.304,7924820,32.35
15:52:15.337,7956828,38.50
15:52:15.373,7988836,36.44
15:52:15.411,8020836,37.00
15:52:15.448,8052824,39.21
15:52:15.448,8084832,39.45
15:52:15.486,8116832,39.59
15:52:15.521,8148832,35.97
15:52:15.558,8180836,36.48
15:52:15.592,8212852,37.60
15:52:15.628,8244860,36.81
15:52:15.665,8276860,39.91
15:52:15.702,8308860,35.52
15:52:15.702,8340860,37.23
15:52:15.738,8372852,36.02
15:52:15.771,8404844,37.26
15:52:15.806,8436844,44.07
15:52:15.844,8468852,40.37
15:52:15.880,8500848,35.62
15:52:15.917,8532856,34.27
15:52:15.955,8564856,38.04
15:52:15.988,8596864,31.97
